name=Untitled;grid_size_id=2;editable=1
"BPPlayer":Tag{tag=BPPlayer}Position{position=(960,1680)}Charge{charge=10000}Velocity{velocity=(451.85,-287.811)}Player{can_switch_charge=1;can_go_neutral=1;move_force=0}
"BPNoBounceWall":Tag{tag=BPNoBounceWall}Position{position=(660,1620)}WidthAndHeight{width_and_height=(120,600)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(360,1080)}MagneticField{field_strength=0.4}WidthAndHeight{width_and_height=(480,480)}
"BPNoBounceWall":Tag{tag=BPNoBounceWall}Position{position=(540,660)}WidthAndHeight{width_and_height=(840,120)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(360,360)}MagneticField{field_strength=0.4}WidthAndHeight{width_and_height=(480,480)}
"BPCoin":Tag{tag=BPCoin}Position{position=(300,360)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(1200,360)}MagneticField{field_strength=0.4}WidthAndHeight{width_and_height=(480,480)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(1200,1080)}MagneticField{field_strength=0.4}WidthAndHeight{width_and_height=(480,480)}
"BPNoBounceWall":Tag{tag=BPNoBounceWall}Position{position=(2520,1380)}WidthAndHeight{width_and_height=(3600,120)}
"BPNoBounceWall":Tag{tag=BPNoBounceWall}Position{position=(540,780)}WidthAndHeight{width_and_height=(840,120)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(2160,720)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(480,1200)}
"BPNoBounceWall":Tag{tag=BPNoBounceWall}Position{position=(1740,1140)}WidthAndHeight{width_and_height=(120,360)}
"BPNoBounceWall":Tag{tag=BPNoBounceWall}Position{position=(1740,300)}WidthAndHeight{width_and_height=(120,360)}
"BPNoBounceWall":Tag{tag=BPNoBounceWall}Position{position=(1620,300)}WidthAndHeight{width_and_height=(120,360)}
"BPNoBounceWall":Tag{tag=BPNoBounceWall}Position{position=(1620,1140)}WidthAndHeight{width_and_height=(120,360)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(2520,1680)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(3600,480)}
