name=Untitled;grid_size_id=3;editable=1
"BPPlayer":Tag{tag=BPPlayer}Position{position=(360,2400)}Charge{charge=10000}Velocity{velocity=(0,0)}Player{can_switch_charge=1;can_go_neutral=1;move_force=0}
"BPLaser":Tag{tag=BPLaser}Position{position=(3120,2460)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(3120,2820)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(3300,2640)}WidthAndHeight{width_and_height=(60,228)}
"BPLaser":Tag{tag=BPLaser}Position{position=(2940,2640)}WidthAndHeight{width_and_height=(60,228)}
"BPWall":Tag{tag=BPWall}Position{position=(3300,2820)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(3300,2460)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(2940,2460)}WidthAndHeight{width_and_height=(120,120)}
"BPStaticParticle":Tag{tag=BPStaticParticle}Position{position=(720,1320)}Charge{charge=10000}
"BPWall":Tag{tag=BPWall}Position{position=(540,1500)}WidthAndHeight{width_and_height=(120,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(720,1140)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(720,1500)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(900,1320)}WidthAndHeight{width_and_height=(60,228)}
"BPLaser":Tag{tag=BPLaser}Position{position=(540,1320)}WidthAndHeight{width_and_height=(60,228)}
"BPWall":Tag{tag=BPWall}Position{position=(900,1500)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(900,1140)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(540,1140)}WidthAndHeight{width_and_height=(120,120)}
"BPStaticParticle":Tag{tag=BPStaticParticle}Position{position=(3840,480)}Charge{charge=-10000}
"BPWall":Tag{tag=BPWall}Position{position=(3660,660)}WidthAndHeight{width_and_height=(120,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(3840,300)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(3840,660)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(4020,480)}WidthAndHeight{width_and_height=(60,228)}
"BPLaser":Tag{tag=BPLaser}Position{position=(3660,480)}WidthAndHeight{width_and_height=(60,228)}
"BPWall":Tag{tag=BPWall}Position{position=(4020,660)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(4020,300)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(3660,300)}WidthAndHeight{width_and_height=(120,120)}
"BPStaticParticle":Tag{tag=BPStaticParticle}Position{position=(5176,3716)}Charge{charge=-10000}
"BPWall":Tag{tag=BPWall}Position{position=(4996,3896)}WidthAndHeight{width_and_height=(120,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5176,3536)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5176,3896)}WidthAndHeight{width_and_height=(228,60)}
"BPLaser":Tag{tag=BPLaser}Position{position=(5356,3716)}WidthAndHeight{width_and_height=(60,228)}
"BPLaser":Tag{tag=BPLaser}Position{position=(4996,3716)}WidthAndHeight{width_and_height=(60,228)}
"BPWall":Tag{tag=BPWall}Position{position=(5356,3896)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(5356,3536)}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(4996,3536)}WidthAndHeight{width_and_height=(120,120)}
