name=Untitled;grid_size_id=2;editable=1
"BPPlayer":Tag{tag=BPPlayer}Position{position=(960,1680)}Charge{charge=10000}Velocity{velocity=(451.85,-287.811)}Player{can_switch_charge=1;can_go_neutral=1;move_force=0}
"BPLaser":Tag{tag=BPLaser}Position{position=(4740,1380)}WidthAndHeight{width_and_height=(600,60)}
"BPWall":Tag{tag=BPWall}Position{position=(1920,60)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(3840,120)}
"BPWall":Tag{tag=BPWall}Position{position=(60,1620)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,3000)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(660,2580)}MagneticField{field_strength=0.05}WidthAndHeight{width_and_height=(1080,1080)}
"BPLaser":Tag{tag=BPLaser}Position{position=(1860,2880)}WidthAndHeight{width_and_height=(60,480)}
"BPWall":Tag{tag=BPWall}Position{position=(1260,2160)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,240)}
"BPWall":Tag{tag=BPWall}Position{position=(1260,3000)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,240)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(4740,720)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(1800,1200)}
"BPWall":Tag{tag=BPWall}Position{position=(5340,300)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(4980,900)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(4320,240)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(4740,600)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(3960,660)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(5400,600)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(4140,720)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(4500,1200)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPWall":Tag{tag=BPWall}Position{position=(5580,1140)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,120)}
"BPLaser":Tag{tag=BPLaser}Position{position=(3120,660)}WidthAndHeight{width_and_height=(1200,60)}
"BPWall":Tag{tag=BPWall}Position{position=(3780,720)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,240)}
"BPCoin":Tag{tag=BPCoin}Position{position=(3120,360)}
"BPWall":Tag{tag=BPWall}Position{position=(3120,780)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(1200,120)}
"BPGoal":Tag{tag=BPGoal}Position{position=(3120,1080)}
"BPWall":Tag{tag=BPWall}Position{position=(2460,720)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,240)}
"BPWall":Tag{tag=BPWall}Position{position=(5700,660)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(120,1320)}
"BPWall":Tag{tag=BPWall}Position{position=(4740,60)}Collision{bounce_factor=1;friction=75}WidthAndHeight{width_and_height=(1800,120)}
"BPWall":Tag{tag=BPWall}Position{position=(660,1620)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,600)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(360,1080)}MagneticField{field_strength=0.4}WidthAndHeight{width_and_height=(480,480)}
"BPWall":Tag{tag=BPWall}Position{position=(540,660)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(840,120)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(360,360)}MagneticField{field_strength=0.4}WidthAndHeight{width_and_height=(480,480)}
"BPCoin":Tag{tag=BPCoin}Position{position=(300,360)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(1200,360)}MagneticField{field_strength=0.4}WidthAndHeight{width_and_height=(480,480)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(1200,1080)}MagneticField{field_strength=0.4}WidthAndHeight{width_and_height=(480,480)}
"BPWall":Tag{tag=BPWall}Position{position=(2520,1380)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(3600,120)}
"BPWall":Tag{tag=BPWall}Position{position=(540,780)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(840,120)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(2160,720)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(480,1200)}
"BPWall":Tag{tag=BPWall}Position{position=(1740,1140)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,360)}
"BPWall":Tag{tag=BPWall}Position{position=(1740,300)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,360)}
"BPWall":Tag{tag=BPWall}Position{position=(1620,300)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,360)}
"BPWall":Tag{tag=BPWall}Position{position=(1620,1140)}Collision{bounce_factor=0.2;friction=75}WidthAndHeight{width_and_height=(120,360)}
"BPMagneticField":Tag{tag=BPMagneticField}Position{position=(2520,1680)}MagneticField{field_strength=0.2}WidthAndHeight{width_and_height=(3600,480)}
